"","ensembl_gene_id","hgnc_symbol"
"341","ENSG00000117395","EBNA1BP2"
"342","ENSG00000117399","CDC20"
"343","ENSG00000117400","MPL"
"344","ENSG00000117407","ARTN"
"345","ENSG00000117408","IPO13"
"346","ENSG00000117410","ATP6V0B"
"347","ENSG00000117411","B4GALT2"
"348","ENSG00000117419","ERI3"
"349","ENSG00000117425","PTCH2"
"350","ENSG00000117448","AKR1A1"
"351","ENSG00000117450","PRDX1"
"352","ENSG00000117461","PIK3R3"
"353","ENSG00000117472","TSPAN1"
"354","ENSG00000117475","BLZF1"
"355","ENSG00000117477","CCDC181"
"356","ENSG00000117479","SLC19A2"
"357","ENSG00000117480","FAAH"
"358","ENSG00000117481","NSUN4"
"359","ENSG00000117500","TMED5"
"360","ENSG00000117501","MROH9"
"361","ENSG00000117505","DR1"
"362","ENSG00000117507","FMO6P"
"363","ENSG00000117519","CNN3"
"364","ENSG00000117523","PRRC2C"
"365","ENSG00000117525","F3"
"366","ENSG00000117528","ABCD3"
"367","ENSG00000117533","VAMP4"
"368","ENSG00000117543","DPH5"
"369","ENSG00000117560","FASLG"
"370","ENSG00000117569","PTBP2"
"371","ENSG00000117586","TNFSF4"
"372","ENSG00000117592","PRDX6"
"373","ENSG00000117593","DARS2"
"374","ENSG00000117594","HSD11B1"
"375","ENSG00000117595","IRF6"
"376","ENSG00000117597","UTP25"
"377","ENSG00000117598","PLPPR5"
"378","ENSG00000117600","PLPPR4"
"379","ENSG00000117601","SERPINC1"
"380","ENSG00000117602","RCAN3"
"381","ENSG00000117614","SYF2"
"382","ENSG00000117616","RSRP1"
"383","ENSG00000117620","SLC35A3"
"384","ENSG00000117625","RCOR3"
"385","ENSG00000117632","STMN1"
"386","ENSG00000117640","MTFR1L"
"387","ENSG00000117643","MAN1C1"
"388","ENSG00000117650","NEK2"
"389","ENSG00000117676","RPS6KA1"
"390","ENSG00000117682","DHDDS"
"391","ENSG00000117691","NENF"
"392","ENSG00000117697","NSL1"
"393","ENSG00000117713","ARID1A"
"394","ENSG00000117748","RPA2"
"395","ENSG00000117751","PPP1R8"
"396","ENSG00000117758","STX12"
"397","ENSG00000117834","SLC5A9"
"398","ENSG00000117859","OSBPL9"
"399","ENSG00000117862","TXNDC12"
"400","ENSG00000118193","KIF14"
"401","ENSG00000118194","TNNT2"
"402","ENSG00000118197","DDX59"
"403","ENSG00000118200","CAMSAP2"
"404","ENSG00000118217","ATF6"
"405","ENSG00000118292","C1orf54"
"406","ENSG00000118298","CA14"
"407","ENSG00000118454","ANKRD13C"
"408","ENSG00000118473","SGIP1"
"409","ENSG00000118655","DCLRE1B"
"410","ENSG00000118729","CASQ2"
"411","ENSG00000118733","OLFM3"
"412","ENSG00000119535","CSF3R"
"413","ENSG00000120332","TNN"
"414","ENSG00000120333","MRPS14"
"415","ENSG00000120334","CENPL"
"416","ENSG00000120337","TNFSF18"
"417","ENSG00000120341","SEC16B"
"418","ENSG00000120370","GORAB"
"419","ENSG00000120656","TAF12"
"420","ENSG00000120937","NPPB"
"421","ENSG00000120942","UBIAD1"
"422","ENSG00000120948","TARDBP"
"423","ENSG00000120949","TNFRSF8"
"424","ENSG00000120952","PRAMEF2"
"425","ENSG00000121310","ECHDC2"
"426","ENSG00000121446","RGSL1"
"427","ENSG00000121454","LHX4"
"428","ENSG00000121481","RNF2"
"429","ENSG00000121486","TRMT1L"
"430","ENSG00000121634","GJA8"
"431","ENSG00000121753","ADGRB2"
"432","ENSG00000121764","HCRTR1"
"433","ENSG00000121766","ZCCHC17"
"434","ENSG00000121769","FABP3"
"435","ENSG00000121774","KHDRBS1"
"436","ENSG00000121775","TMEM39B"
"437","ENSG00000121851","POLR3GL"
"438","ENSG00000121900","TMEM54"
"439","ENSG00000121903","ZSCAN20"
"440","ENSG00000121904","CSMD2"
"441","ENSG00000121905","HPCA"
"442","ENSG00000121931","LRIF1"
"443","ENSG00000121933","TMIGD3"
"444","ENSG00000121940","CLCC1"
"445","ENSG00000121957","GPSM2"
"446","ENSG00000122176","FMOD"
"447","ENSG00000122180","MYOG"
"448","ENSG00000122188","LAX1"
"449","ENSG00000122218","COPA"
"450","ENSG00000122223","CD244"
"451","ENSG00000122224","LY9"
"452","ENSG00000122406","RPL5"
"453","ENSG00000122417","ODF2L"
"454","ENSG00000122420","PTGFR"
"455","ENSG00000122432","SPATA1"
"456","ENSG00000122435","TRMT13"
"457","ENSG00000122477","LRRC39"
"458","ENSG00000122481","RWDD3"
"459","ENSG00000122482","ZNF644"
"460","ENSG00000122483","CCDC18"
"461","ENSG00000122484","RPAP2"
"462","ENSG00000123080","CDKN2C"
"463","ENSG00000123091","RNF11"
"464","ENSG00000123472","ATPAF1"
"465","ENSG00000123473","STIL"
"466","ENSG00000123684","LPGAT1"
"467","ENSG00000123685","BATF3"
"468","ENSG00000123689","G0S2"
"469","ENSG00000123836","PFKFB2"
"470","ENSG00000123838","C4BPA"
"471","ENSG00000123843","C4BPB"
"472","ENSG00000125459","MSTO1"
"473","ENSG00000125462","MIR9-1HG"
"474","ENSG00000125703","ATG4C"
"475","ENSG00000125944","HNRNPR"
"476","ENSG00000125945","ZNF436"
"477","ENSG00000126067","PSMB2"
"478","ENSG00000126070","AGO3"
"479","ENSG00000126088","UROD"
"480","ENSG00000126091","ST3GAL3"
"481","ENSG00000126106","TMEM53"
"482","ENSG00000126107","HECTD3"
"483","ENSG00000126698","DNAJC8"
"484","ENSG00000126705","AHDC1"
"485","ENSG00000126709","IFI6"
"486","ENSG00000127054","INTS11"
"487","ENSG00000127074","RGS13"
"488","ENSG00000127124","HIVEP3"
"489","ENSG00000127125","PPCS"
"490","ENSG00000127129","EDN2"
"491","ENSG00000127423","AUNIP"
"492","ENSG00000127463","EMC1"
"493","ENSG00000127472","PLA2G5"
"494","ENSG00000127481","UBR4"
"495","ENSG00000127483","HP1BP3"
"496","ENSG00000127603","MACF1"
"497","ENSG00000130695","CEP85"
"498","ENSG00000130762","ARHGEF16"
"499","ENSG00000130764","LRRC47"
"500","ENSG00000130766","SESN2"
"501","ENSG00000130768","SMPDL3B"
"502","ENSG00000130770","ATP5IF1"
"503","ENSG00000130772","MED18"
"504","ENSG00000130775","THEMIS2"
"505","ENSG00000130939","UBE4B"
"506","ENSG00000130940","CASZ1"
"507","ENSG00000131233","GJA9"
"508","ENSG00000131236","CAP1"
"509","ENSG00000131238","PPT1"
"510","ENSG00000131584","ACAP3"
"511","ENSG00000131591","C1orf159"
"512","ENSG00000131686","CA6"
"513","ENSG00000131697","NPHP4"
"514","ENSG00000131778","CHD1L"
"515","ENSG00000131779","PEX11B"
"516","ENSG00000131781","FMO5"
"517","ENSG00000131788","PIAS3"
"518","ENSG00000131791","PRKAB2"
"519","ENSG00000131910","NR0B2"
"520","ENSG00000131914","LIN28A"
"521","ENSG00000132122","SPATA6"
"522","ENSG00000132128","LRRC41"
"523","ENSG00000132185","FCRLA"
"524","ENSG00000132196","HSD17B7"
"525","ENSG00000132485","ZRANB2"
"526","ENSG00000132676","DAP3"
"527","ENSG00000132677","RHBG"
"528","ENSG00000132680","KHDC4"
"529","ENSG00000132681","ATP1A4"
"530","ENSG00000132688","NES"
"531","ENSG00000132692","BCAN"
"532","ENSG00000132693","CRP"
"533","ENSG00000132694","ARHGEF11"
"534","ENSG00000132698","RAB25"
"535","ENSG00000132702","HAPLN2"
"536","ENSG00000132703","APCS"
"537","ENSG00000132704","FCRL2"
"538","ENSG00000132716","DCAF8"
"539","ENSG00000132718","SYT11"
"540","ENSG00000132763","MMACHC"
"541","ENSG00000132768","DPH2"
"542","ENSG00000132773","TOE1"
"543","ENSG00000132780","NASP"
"544","ENSG00000132781","MUTYH"
"545","ENSG00000132849","PATJ"
"546","ENSG00000132854","KANK4"
"547","ENSG00000132855","ANGPTL3"
"548","ENSG00000132879","FBXO44"
"549","ENSG00000132881","CPLANE2"
"550","ENSG00000132906","CASP9"
"551","ENSG00000133048","CHI3L1"
"552","ENSG00000133055","MYBPH"
"553","ENSG00000133056","PIK3C2B"
"554","ENSG00000133059","DSTYK"
"555","ENSG00000133063","CHIT1"
"556","ENSG00000133065","SLC41A1"
"557","ENSG00000133067","LGR6"
"558","ENSG00000133069","TMCC2"
"559","ENSG00000133216","EPHB2"
"560","ENSG00000133226","SRRM1"
"561","ENSG00000134183","GNAT2"
"562","ENSG00000134184","GSTM1"
"563","ENSG00000134186","PRPF38B"
"564","ENSG00000134193","REG4"
"565","ENSG00000134198","TSPAN2"
"566","ENSG00000134200","TSHB"
"567","ENSG00000134201","GSTM5"
"568","ENSG00000134202","GSTM3"
"569","ENSG00000134207","SYT6"
"570","ENSG00000134215","VAV3"
"571","ENSG00000134216","CHIA"
"572","ENSG00000134222","PSRC1"
"573","ENSG00000134240","HMGCS2"
"574","ENSG00000134242","PTPN22"
"575","ENSG00000134243","SORT1"
"576","ENSG00000134245","WNT2B"
"577","ENSG00000134247","PTGFRN"
"578","ENSG00000134248","LAMTOR5"
"579","ENSG00000134249","ADAM30"
"580","ENSG00000134250","NOTCH2"
"581","ENSG00000134253","TRIM45"
"582","ENSG00000134255","CEPT1"
"583","ENSG00000134256","CD101"
"584","ENSG00000134258","VTCN1"
"585","ENSG00000134259","NGF"
"586","ENSG00000134262","AP4B1"
"587","ENSG00000134365","CFHR4"
"588","ENSG00000134369","NAV1"
"589","ENSG00000134371","CDC73"
"590","ENSG00000134375","TIMM17A"
"591","ENSG00000134376","CRB1"
"592","ENSG00000134389","CFHR5"
"593","ENSG00000134644","PUM1"
"594","ENSG00000134668","SPOCD1"
"595","ENSG00000134684","YARS1"
"596","ENSG00000134686","PHC2"
"597","ENSG00000134690","CDCA8"
"598","ENSG00000134697","GNL2"
"599","ENSG00000134698","AGO4"
"600","ENSG00000134709","HOOK1"
"601","ENSG00000134716","CYP2J2"
"602","ENSG00000134717","BTF3L4"
"603","ENSG00000134744","TUT4"
"604","ENSG00000134748","PRPF38A"
"605","ENSG00000135821","GLUL"
"606","ENSG00000135823","STX6"
"607","ENSG00000135824","RGS8"
"608","ENSG00000135828","RNASEL"
"609","ENSG00000135829","DHX9"
"610","ENSG00000135835","KIAA1614"
"611","ENSG00000135837","CEP350"
"612","ENSG00000135838","NPL"
"613","ENSG00000135842","NIBAN1"
"614","ENSG00000135845","PIGC"
"615","ENSG00000135862","LAMC1"
"616","ENSG00000135870","RC3H1"
"617","ENSG00000136631","VPS45"
"618","ENSG00000136634","IL10"
"619","ENSG00000136643","RPS6KC1"
"620","ENSG00000137936","BCAR3"
"621","ENSG00000137941","TTLL7"
"622","ENSG00000137942","FNBP1L"
"623","ENSG00000137944","KYAT3"
"624","ENSG00000137947","GTF2B"
"625","ENSG00000137948","BRDT"
"626","ENSG00000137955","RABGGTB"
"627","ENSG00000137959","IFI44L"
"628","ENSG00000137960","GIPC2"
"629","ENSG00000137962","ARHGAP29"
"630","ENSG00000137965","IFI44"
"631","ENSG00000137968","SLC44A5"
"632","ENSG00000137970","RPL7P9"
"633","ENSG00000137975","CLCA2"
"634","ENSG00000137976","DNASE2B"
"635","ENSG00000137992","DBT"
"636","ENSG00000137996","RTCA"
"637","ENSG00000142224","IL19"
"638","ENSG00000142583","SLC2A5"
"639","ENSG00000142599","RERE"
"640","ENSG00000142606","MMEL1"
"641","ENSG00000142609","CFAP74"
"642","ENSG00000142611","PRDM16"
"643","ENSG00000142615","CELA2A"
"644","ENSG00000142619","PADI3"
"645","ENSG00000142621","FHAD1"
